,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,Q12,Q13,Q14,Q15,Q18,Q19,Latitude,Longitude
0,98,2,3,1,1,2,2,0,0,0,0,0,0,0,0,1,0,0,2,-1,2,-1,4,4,-4.46044192,29.8113964
1,40,1,1,3,5,1,1,1,0,0,0,0,0,0,0,0,0,0,1,4,1,5,1,4,-6.17643812,39.24487062
2,18,2,4,6,3,2,1,0,0,0,0,0,0,0,0,1,0,0,2,-1,2,-1,1,1,-6.82570215,37.65279782
3,50,1,1,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,2,2,-1,1,4,-3.37204916,35.808307299999996
4,34,1,1,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,2,-1,1,1,1,4,-7.17964514,31.03909501
5,35,1,1,3,3,2,1,0,1,0,1,0,0,0,0,0,0,0,2,-1,1,3,1,1,-6.36233065,37.13774142
6,31,2,1,3,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,5,1,3,1,2,-8.08925722,35.83641476
7,23,2,4,5,5,2,1,0,0,1,0,0,0,0,0,0,0,0,1,4,1,4,2,2,-8.91602782,33.43390406
8,56,2,3,3,3,2,2,0,1,0,1,0,1,0,0,0,0,0,1,5,1,6,1,1,-3.97224706,32.64995093
9,37,2,1,3,3,2,1,0,1,0,0,0,0,0,1,1,0,0,1,3,1,4,1,4,-8.03397315,35.76941599
10,18,2,4,5,5,2,1,0,0,0,0,0,0,0,0,0,1,0,1,6,1,6,1,1,-3.61949115,33.81397392
11,29,2,1,6,1,2,1,0,0,0,1,0,0,0,0,0,0,0,1,4,1,5,1,4,-8.8474963,34.82358667
12,28,1,1,3,3,2,2,0,1,0,1,0,0,0,0,0,0,0,2,-1,2,-1,1,4,-10.74350336,34.73308437
13,17,2,1,2,5,2,2,0,1,0,1,0,0,0,0,0,0,0,2,-1,2,-1,1,4,-8.29591748,31.50903394
14,22,2,4,6,5,2,1,0,0,0,0,0,0,0,0,1,0,0,1,4,1,3,1,1,-6.16905276,39.19848943
15,53,2,1,3,1,2,2,0,1,0,1,0,0,0,0,0,0,0,2,-1,2,-1,1,4,-1.33874499,30.90011959
16,21,2,4,6,3,2,1,0,0,0,0,0,0,0,0,0,1,0,2,-1,1,5,1,1,-10.48837106,39.02761703
17,24,2,4,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,4,1,6,1,1,-3.18034209,36.86123796
18,38,1,4,2,2,2,2,0,1,0,1,0,0,0,0,0,0,0,2,-1,2,-1,4,4,-1.26182551,30.67859149
19,30,2,3,3,1,2,1,0,1,0,0,0,0,0,0,0,0,0,2,-1,2,-1,1,1,-7.782640799999999,35.66559916
20,27,2,1,3,1,2,2,0,1,0,0,0,0,0,0,1,0,0,2,-1,1,3,1,4,-4.61491779,29.78760859
21,42,2,1,3,3,2,1,0,0,0,1,0,0,0,0,0,0,0,2,-1,1,6,1,4,-2.59741921,32.91360135
22,44,1,1,1,3,2,2,0,1,0,1,0,0,0,0,0,0,0,2,-1,1,5,4,4,-10.91885915,38.0026558
23,76,2,1,1,1,1,2,0,0,0,1,0,0,0,0,0,0,0,2,-1,2,-1,4,4,-8.87183105,34.95540407
24,19,1,4,3,3,2,1,0,0,0,1,0,0,0,0,0,0,0,2,-1,2,-1,1,4,-5.07269918,38.45452481
25,29,2,1,3,5,2,2,0,0,1,0,0,0,0,0,1,0,0,1,5,1,4,1,1,-7.77454325,35.69337587
26,20,2,4,3,4,2,1,0,0,0,1,0,0,0,0,0,0,0,1,2,2,-1,1,3,-6.21997069,39.23239912
27,26,2,2,3,5,2,1,1,0,0,0,0,0,0,0,0,0,0,1,4,1,5,1,1,-1.3240641000000002,31.79062686
28,44,2,2,3,5,2,1,0,0,1,0,0,0,0,0,0,0,0,1,6,1,2,5,5,-3.35223512,37.34738616
29,32,2,4,2,5,2,1,0,1,0,0,0,0,0,0,0,0,0,1,2,1,1,5,5,-6.81906576,37.64553234
30,53,2,2,1,1,2,1,0,1,0,1,0,0,0,0,0,0,0,1,3,2,-1,1,4,-4.29046851,35.85896743
31,46,1,1,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2,-1,2,-1,1,4,-2.76226635,33.61667942
32,35,2,4,3,4,2,1,0,1,0,0,0,0,0,0,0,0,0,1,3,1,4,1,1,-8.89881746,33.54752
33,47,1,2,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2,-1,2,-1,1,2,-3.83143513,32.68175493
34,20,2,1,1,3,2,2,0,1,0,1,0,0,0,0,0,0,0,1,2,2,-1,4,4,-8.56809005,32.12579976
35,86,1,1,1,3,1,2,0,1,0,0,0,0,0,0,0,0,0,2,-1,2,-1,4,4,-11.46744994,36.97928803
